EllipseID,X,Y,Length,StrokeScale,Angle,color
417,722,228,2,1,-60.55785369152622,#CBD18C
418,371,22,1,1,268.9620559052563,#CBD18C
419,325,417,3,1,-23.565883073020714,#A6808A
420,301,440,4,1,87.56222612427591,#070711
421,24,417,2,1,-16.375467028987217,#D1C5A5
422,556,590,1,1,89.97496491079296,#4E2B4A
423,169,394,2,1,-31.789669899894236,#C2BB83
424,391,137,3,1,-75.00832053927127,#DD90BF
425,265,671,3,1,207.11908463024733,#8C424D
426,477,46,1,1,-64.9357697218511,#C39ED4
427,352,485,3,1,195.54094573899465,#A67392
428,623,326,3,1,88.3941664346388,#B7A6B3
429,121,672,1,1,236.39290853774807,#BB80A2
430,20,247,1,1,-9.676306366575233,#D1C5A5
431,730,507,1,1,82.47389431374108,#B19A88
432,81,627,2,1,-14.962640280169765,#B790A0
433,78,646,1,1,-30.347322667857952,#C2BB83
434,234,513,2,1,155.21873710822237,#C0B7D4
435,100,77,1,1,78.28244232331573,#DFD7B3
436,394,530,2,1,132.88340977030842,#4E2B31
437,591,166,3,1,-39.222976462657556,#D1BA7C
438,559,610,2,1,47.6542176561407,#4E3442
439,204,161,2,1,9.533055006668178,#D1BA7C
440,603,24,1,1,250.91850936708386,#D1C5A5
441,519,603,3,1,247.91773694681876,#9B7D83
442,263,140,2,1,50.62207908953288,#D1D3ED
443,655,58,1,1,251.5688204475347,#DFB899
444,567,620,3,1,253.03994701084818,#112A53
445,566,351,4,1,150.956529047582,#30171A
446,312,107,1,1,228.53180534858137,#C6B5ED
447,189,105,2,1,59.83033927273517,#B5CDED
448,296,108,1,1,268.01169799958274,#C6B5ED
449,126,118,2,1,15.872130431067887,#DFD7B3
450,682,656,1,1,25.986013675776732,#9B6B86
451,54,5,2,1,87.85692086308983,#C39ED4
452,683,35,2,1,-78.82892360714999,#C29E74
453,693,508,2,1,64.70008693598398,#B290B7
454,572,17,1,1,-77.87900658948934,#BB80A2
455,720,616,2,1,23.74487979681932,#A6808A
456,426,377,3,1,-82.895347491564,#0C0911
457,100,675,1,1,222.46039870564147,#BB80A2
458,431,295,1,1,-10.02811179181765,#0C0911
459,502,65,1,1,-47.94116623405827,#D1C5A5
460,347,305,5,1,44.49560021364543,#B290B7
