EllipseID,X,Y,Length,StrokeScale,Angle,color
242,293,335,3,2,-61.437581972633495,#DCB4B3
243,838,580,2,2,206.43323519492736,#DCB4B3
244,293,656,3,2,125.82961354226808,#422114
245,615,282,8,2,74.21884015912735,#9A4F3B
246,823,491,3,2,52.570207787188785,#D3C8AC
247,558,713,5,2,219.72576874350187,#DCD3CD
248,386,436,4,2,205.8204713145168,#150F0C
249,868,708,3,2,-64.96396085933728,#DCB9A2
250,870,394,3,2,102.37813982239604,#DCD2B3
251,993,551,2,2,12.529045249903362,#D3CAC5
252,466,400,6,2,19.054627892058008,#7D323A
253,500,91,10,2,11.720845409062164,#320D0F
254,157,148,3,2,22.713388510478694,#DCD2B3
255,427,349,3,2,-59.418932779093694,#9A6659
256,535,240,6,2,95.76701915876082,#4D0E0D
257,863,391,2,2,104.1061341370073,#CABFB7
258,442,386,7,2,36.933310284683664,#9A4752
259,125,676,3,2,-72.88547176455305,#CAA88F
260,74,346,3,2,-71.15565848913391,#BAB0A9
261,507,12,2,2,49.71800613682268,#DCD3CD
262,486,631,5,2,-34.86471519670383,#DCD2B3
263,545,287,7,2,149.68532251338593,#CAC09F
264,1008,414,3,2,18.36902901071639,#DCD3CD
265,951,354,3,2,74.91623981844377,#DCD3CD
266,570,239,6,2,-89.84897695105604,#32111F
267,868,462,2,2,19.53479059682401,#D3CAC5
268,876,634,3,2,55.577536738991064,#D3AF9C
269,472,745,7,2,88.90604177290004,#150A0A
270,811,113,2,2,96.48801124616756,#DCD3CD
271,974,112,2,2,106.56944075906382,#DCD2B3
272,614,472,6,2,84.8871380964912,#150F0C
273,566,370,5,2,-89.75120060638918,#150C0F
274,484,723,6,2,39.72734027814376,#78758D
275,840,228,2,2,110.49414347356841,#DCD3CD
276,579,643,7,2,114.87551357104043,#85878D
277,162,306,3,2,9.884541369107026,#CABFB7
278,115,364,2,2,26.66692252939255,#AF8B89
279,174,496,3,2,-50.62906429097322,#CAA88F
280,499,48,3,2,37.67087634341061,#D3CAC5
281,655,654,4,2,244.93716032379862,#4D0D39
282,88,121,3,2,9.809336494179888,#DCB9A2
283,894,184,3,2,115.27156834578268,#DCD3CD
284,154,452,3,2,-54.90504437211143,#BAB0A9
285,121,258,3,2,29.723924720720703,#BAB0A9
286,926,594,3,2,74.94538065273628,#DCD2B3
287,448,32,2,2,-3.832130985417024,#CABFB7
288,47,660,2,2,-54.73764051269822,#AFA59E
289,868,569,3,2,53.191523962264306,#AFA789
290,639,481,4,2,-54.251532490394425,#5D2F1F
291,35,209,3,2,64.55584905617607,#D3C8AC
292,253,18,2,2,76.12725637617194,#DCB9A2
293,757,27,2,2,128.75755850754763,#DCD3CD
294,781,616,4,2,69.39739557751943,#7D323A
295,682,83,3,2,135.96418031598154,#D3CAC5
296,175,199,3,2,29.343660120001353,#CAC09F
297,371,734,4,2,179.37181402408385,#DCB9A2
298,685,527,3,2,-71.95662362058658,#4D465A
299,928,13,2,2,99.55563031887954,#DCD3CD
300,634,571,5,2,97.95445368380354,#8A2D4B
301,706,162,3,2,130.29253917214157,#DCD3CD
302,905,64,3,2,115.88336959198192,#DCD3CD
303,685,146,2,2,153.13220867578463,#D3CAC5
304,824,136,2,2,210.27212874673774,#D3AF9C
305,653,324,4,2,75.57668113297225,#D3CAC5
306,356,621,6,2,83.1355579406233,#321A11
307,499,421,5,2,128.9467570725099,#BA9593
308,993,733,3,2,-10.288663589387355,#D3CAC5
309,665,471,4,2,-14.575302109309533,#9A4752
310,771,734,4,2,59.96745626395902,#8A1237
311,913,166,3,2,132.19218492336702,#DCD3CD
312,170,50,3,2,57.347016003631865,#CAC09F
