Age,Gender,Income,CountryLive
28,female,60000,United States of America
24,male,12000,Mexico
26,male,12000,Greece
28,male,36000,United Kingdom
25,male,10000,United States of America
25,female,45000,United States of America
28,female,9000,United States of America
27,male,15000,United States of America
47,female,65000,United States of America
25,male,20000,United States of America
27,female,50000,United Kingdom
24,male,30000,Canada
26,male,35000,New Zealand
26,male,45000,United States of America
29,female,75000,United States of America
43,male,30000,United Kingdom
33,female,90000,United States of America
30,female,112000,United States of America
26,male,26000,United States of America
25,female,37000,United States of America
29,female,125000,United States of America
24,female,80000,United States of America
38,female,150000,United States of America
22,male,6000,United States of America
27,male,300000,United Kingdom
27,male,30000,United Kingdom
26,female,110000,United States of America
25,male,40000,United States of America
24,male,40000,United States of America
26,male,42000,United States of America
32,female,45000,United States of America
29,female,25000,United States of America
35,male,70000,India
