EllipseID,X,Y,Length,StrokeScale,Angle,color
79,69,187,3,1,150.815704862811,#7C5034
80,56,51,4,1,109.96515762705931,#493F2E
81,97,90,3,1,162.73506448703972,#641B1D
82,29,132,1,1,100.21172567023847,#FEFEFE
83,45,119,8,1,252.69170076142126,#1E1916
84,150,52,5,1,63.29897470729878,#723914
85,164,182,2,1,-62.85882870751061,#131214
86,55,125,2,1,40.658952626747435,#3A2024
87,22,28,1,1,90.0,#EFCFDB
88,46,151,7,1,250.79873580807873,#E1B3B3
89,94,147,2,1,224.51870912275663,#7C6725
90,45,45,9,1,-74.09498072527774,#9D7C6B
91,71,188,2,1,153.90714334149555,#604332
92,135,58,3,1,204.1174835176295,#9D694C
93,159,19,1,1,151.60888261689024,#9F9596
94,38,80,7,1,-85.1734114549036,#74684A
95,100,169,2,1,257.21330097466216,#603A3A
96,148,19,2,1,179.74180992470912,#9F9596
97,67,159,5,1,112.57882609675165,#945B34
98,56,73,4,1,98.85682714281859,#643B27
99,15,12,1,1,192.868977694827,#FEE0EB
100,12,135,1,1,264.2994097528798,#FEFEFE
101,152,170,4,1,-74.7244975947244,#493F2E
102,25,4,2,1,81.752661767939,#EFEBEE
103,18,57,1,1,90.0,#FEFEFE
104,133,117,3,1,125.08475560532845,#72472A
105,60,41,3,1,88.37402112174487,#50181B
106,177,92,2,1,184.47718204023485,#9F9596
107,109,61,3,1,175.71204616579243,#744A4A
108,165,53,1,1,8.04919788832369,#9F8A82
109,153,142,1,1,16.363337297967945,#FEFEFE
110,45,22,1,1,-85.23444785060988,#FEFEFE
111,64,7,1,1,-23.148396414217757,#9F9596
112,87,132,3,1,175.60986622185993,#725D1D
113,115,71,3,1,-85.0140870301284,#87312F
114,21,140,3,1,154.47822131426614,#FEE0EB
115,150,82,4,1,80.50628407223738,#493229
116,15,90,1,1,-39.919570406035746,#FEEBE0
117,32,183,2,1,-80.33616588496471,#131214
118,2,0,2,1,170.70178525004485,#EFEBEE
119,115,2,2,1,137.81602819158982,#9F9596
120,70,68,4,1,226.4422763803404,#604F45
121,138,16,3,1,207.65576886614275,#9F9596
122,69,103,3,1,-71.67450884798345,#9F7679
123,17,51,1,1,192.3225978575952,#EFEBEE
124,165,98,2,1,206.6324893776032,#FEFEFE
125,19,94,2,1,41.944197785100265,#EFEBEE
126,159,51,2,1,264.78836863323244,#9F9596
127,19,85,1,1,90.0,#FEEBE0
128,3,131,1,1,90.0,#FEFEFE
129,111,145,3,1,-10.314597093560579,#643B27
130,96,97,4,1,84.07935427809502,#7C5034
131,83,8,5,1,-11.337482002891207,#9F8A82
132,121,154,5,1,-89.45829980879151,#1E1619
133,158,21,1,1,159.35273074515257,#9F9596
134,177,109,1,1,227.24780135074016,#FEFEFE
135,176,74,1,1,127.33567842832429,#9F8A82
136,84,127,3,1,244.97986615384684,#875B3F
137,47,191,4,1,103.87752498261239,#7C5034
138,134,38,3,1,157.41834574816153,#604F45
139,187,143,1,1,90.0,#FEE0EB
140,175,99,8,1,212.9711140301125,#ECCFEF
141,134,4,2,1,31.395717496048192,#BB9D8C
142,152,132,1,1,99.33140146736362,#FEFEFE
143,124,140,5,1,-44.90896018462789,#110E14
144,145,125,10,1,102.78963208325483,#BB9D8C
145,46,13,6,1,214.00832024798947,#FEFEFE
146,27,51,4,1,198.15633580726944,#FEFEFE
147,77,187,2,1,174.1639277553354,#745341
148,109,168,2,1,-70.23125247266606,#493C37
149,74,189,2,1,141.6787102674645,#875B3F
150,20,105,2,1,138.68062045256315,#FEFEFE
151,46,170,4,1,58.85938684684589,#3A2F20
152,86,43,3,1,-51.492917299678226,#131214
153,27,38,1,1,-3.3759566621106956,#FEFEFE
154,86,117,3,1,267.2324401270347,#604332
155,116,168,4,1,-89.64461569499667,#3A2F20
156,180,12,1,1,194.11243855205782,#9F9596
